,iso,m1_beta1,m1_beta2,m1_maxGMT,m2_beta1,m2_beta2,m2_maxGMT,m3_beta1,m3_beta2,m3_maxGMT,m4_beta1,m4_beta2,m4_maxGMT,m5_beta1,m5_beta2,m5_maxGMT,m6_beta1,m6_beta2,m6_maxGMT,m7_beta1,m7_beta2,m7_maxGMT,m8_beta1,m8_beta2,m8_maxGMT,m9_beta1,m9_beta2,m9_maxGMT,m10_beta1,m10_beta2,m10_maxGMT,m11_beta1,m11_beta2,m11_maxGMT,m12_beta1,m12_beta2,m12_maxGMT,m13_beta1,m13_beta2,m13_maxGMT,m14_beta1,m14_beta2,m14_maxGMT,m15_beta1,m15_beta2,m15_maxGMT,m16_beta1,m16_beta2,m16_maxGMT,m17_beta1,m17_beta2,m17_maxGMT,m18_beta1,m18_beta2,m18_maxGMT,m19_beta1,m19_beta2,m19_maxGMT,m20_beta1,m20_beta2,m20_maxGMT,m21_beta1,m21_beta2,m21_maxGMT
110,MNE,-3.178265385,-0.480442562,3.271393877,0.522873476,-0.477243265,5.357116368,-8.097569325,0.062406753,3.17721442,-4.59637945,-1.221461529,3.616686681,-3.090413942,-0.021028966,5.912029359,-3.733649791,-0.181529211,5.861769382,1.636427588,-0.675143057,5.221369037,-10.90665689,1.370875829,4.652150125,3.122442382,-1.270545623,4.794348464,-4.776506142,1.052942948,3.521065644,-0.585536521,-0.880445425,3.831035675,-8.436683426,0.557664333,3.695553645,-6.72834993,0.209141031,4.802522534,8.89140022,-2.344599403,3.340032709,-18.67442444,5.307399185,2.759113414,-8.759904319,1.244903241,2.810758886,9.061308334,-1.786245506,2.727035158,3.742986983,-1.239367031,2.931697861,-9.970401847,0.81641084,4.500484936,7.702378572,-0.963678521,4.302452975,1.995389164,-0.125108228,5.151280551
111,MNG,-1.388954127,0.150420228,3.271393877,1.294210663,-0.573403082,5.357116368,-1.30024996,-0.337862975,3.17721442,-0.018758607,-0.498456713,3.616686681,-0.98740806,-0.136100117,5.912029359,-1.231901441,-0.112381186,5.861769382,-1.493762762,0.01708873,5.221369037,0.930863885,-0.504674453,4.652150125,-4.211052715,0.284659179,4.794348464,-1.344438557,-0.264155203,3.521065644,-0.483687391,-0.363289141,3.831035675,0.612353688,-0.446698567,3.695553645,-0.635372418,-0.240927423,4.802522534,-0.532375115,-0.370902467,3.340032709,-1.754803488,-0.262052424,2.759113414,-2.657581489,0.257447452,2.810758886,0.079453606,-0.225067336,2.727035158,1.013829092,-0.783701711,2.931697861,-0.972093794,-0.166528324,4.500484936,0.383715834,-0.275172045,4.302452975,-1.361248098,-0.143922798,5.151280551
112,MOZ,-3.974574164,-1.019593154,3.271393877,-3.449961213,-0.293388639,5.357116368,-3.266096264,-0.17272007,3.17721442,-4.765251576,0.130381171,3.616686681,-4.442954028,0.008776564,5.912029359,-5.496260929,0.043029893,5.861769382,-10.75675212,0.831037042,5.221369037,0.247354762,-0.913546662,4.652150125,-8.336313798,0.693089907,4.794348464,-11.02830126,0.929817744,3.521065644,2.371621902,-0.182493465,3.831035675,-5.508058452,0.524209736,3.695553645,-3.554500408,0.121474847,4.802522534,-2.895659741,0.167913906,3.340032709,-14.56767434,0.778495001,2.759113414,-4.383470019,0.773806006,2.810758886,-1.545437846,-0.73219193,2.727035158,-2.951872646,0.073451755,2.931697861,-2.931701216,-0.190898028,4.500484936,-5.361899344,-0.044497488,4.302452975,-7.067566306,0.179371589,5.151280551
113,MRT,-12.5320599,1.250339944,3.271393877,-8.912147935,0.628983234,5.357116368,-5.091698566,0.029513368,3.17721442,-4.479364083,-0.220816524,3.616686681,-2.857158069,-0.078256875,5.912029359,-10.83324106,0.580162125,5.861769382,-14.76717554,1.459882192,5.221369037,-6.960491969,0.344432092,4.652150125,-6.070264327,0.223228543,4.794348464,-9.756009386,1.512151669,3.521065644,-10.02843415,0.566167327,3.831035675,-9.078066813,0.050515485,3.695553645,-6.387828785,0.543842143,4.802522534,-2.791321948,-0.500333496,3.340032709,-8.949277885,0.052247767,2.759113414,-4.631291549,-0.458284252,2.810758886,-0.794056345,-0.974240578,2.727035158,-9.778963158,1.024235968,2.931697861,-4.547862353,0.070075091,4.500484936,-2.009428833,-0.198673062,4.302452975,-1.984654782,-0.281774396,5.151280551
114,MUS,-5.327713253,0.324538045,3.271393877,-8.56535605,1.003395176,5.357116368,-3.006984315,-0.06908608,3.17721442,-2.636360722,-0.29468265,3.616686681,-6.092632851,0.270669247,5.912029359,-5.471460785,0.208775135,5.861769382,-4.375347773,0.681269097,5.221369037,0.673318954,-0.524658066,4.652150125,-0.483068538,-0.473160265,4.794348464,-8.263811959,1.293885742,3.521065644,2.453978736,-1.051276999,3.831035675,-1.465440978,0.15565461,3.695553645,-5.136876833,1.016535451,4.802522534,-0.91764216,0.972349423,3.340032709,-9.178344287,0.564820475,2.759113414,6.211747523,-2.588503772,2.810758886,-5.351527577,-0.279076301,2.727035158,-2.232142801,-1.47843093,2.931697861,-3.676082959,0.167506945,4.500484936,-5.377803201,0.471810125,4.302452975,-2.99784545,0.308693853,5.151280551
115,MWI,-3.932560146,-1.179656231,3.271393877,-2.955294929,-0.361323893,5.357116368,-2.710820436,-0.522117017,3.17721442,-3.915477445,0.00280045,3.616686681,-2.480258825,-0.145544337,5.912029359,-4.547465069,-0.077091721,5.861769382,-7.754574573,0.307667398,5.221369037,-2.716699762,-0.372337034,4.652150125,-5.458239712,0.242231875,4.794348464,-13.38011502,1.033567927,3.521065644,-1.036989487,0.451579696,3.831035675,-2.757077035,0.205585268,3.695553645,-3.057688119,-0.002326235,4.802522534,0.442478334,-0.138409215,3.340032709,-13.13167108,-0.385796102,2.759113414,-3.781511605,0.456844474,2.810758886,7.671194796,-4.244821635,2.727035158,-0.064528551,-1.423670918,2.931697861,-3.684771747,-0.500445404,4.500484936,-4.347342291,0.167199229,4.302452975,-10.26013354,0.437960353,5.151280551
116,MYS,-2.334194396,-1.872999831,3.271393877,-5.008215906,0.117110754,5.357116368,-4.001678525,-0.891291086,3.17721442,-0.091038618,-0.650554815,3.616686681,-8.578700021,0.32224551,5.912029359,-1.721967718,-0.335402117,5.861769382,-3.391388659,-0.168644998,5.221369037,-14.3721049,1.381713249,4.652150125,-14.54574072,0.571022706,4.794348464,8.027372815,-1.353337261,3.521065644,-5.653030466,0.423436745,3.831035675,8.225237125,-2.317480001,3.695553645,-5.560858838,0.64930102,4.802522534,-3.738409716,0.259884197,3.340032709,3.420216519,-0.759295688,2.759113414,-9.719053018,1.6746688,2.810758886,8.082520076,-2.826953765,2.727035158,-0.46512402,0.390477102,2.931697861,-5.055315558,-0.213022389,4.500484936,-2.804244991,0.015612481,4.302452975,-0.125442595,-1.06279373,5.151280551
117,NAM,-4.699261356,-0.033118676,3.271393877,-7.072298734,0.139762433,5.357116368,-3.410562428,-0.637716234,3.17721442,-7.119481575,0.747666221,3.616686681,-6.981431278,0.232069341,5.912029359,-3.99261372,-0.183486196,5.861769382,-12.79835322,1.168722793,5.221369037,-11.3574067,0.496261135,4.652150125,-9.539161466,0.715539904,4.794348464,-0.785433837,-0.369138376,3.521065644,-7.010797739,0.110403639,3.831035675,7.778603204,-2.668364143,3.695553645,-6.179578522,0.480114524,4.802522534,2.726248522,-1.361045901,3.340032709,-17.37366115,1.867151583,2.759113414,-5.900887141,0.904149141,2.810758886,-6.160831043,1.425186877,2.727035158,-8.632826614,0.607731433,2.931697861,-2.491373913,-0.634538047,4.500484936,-2.586954771,-0.843601595,4.302452975,-9.671754985,0.527507674,5.151280551
118,NCL,-16.53507133,2.196692678,3.271393877,5.747957517,-0.913434596,5.357116368,-0.588085726,-0.556150797,3.17721442,-13.07319391,1.951355406,3.616686681,-4.809277001,0.322091973,5.912029359,-0.667437919,-0.556355624,5.861769382,-9.13809267,0.68981069,5.221369037,-13.38783506,2.007908266,4.652150125,-14.32650498,1.866745137,4.794348464,-2.798785011,-1.378527683,3.521065644,-8.295147698,0.542506852,3.831035675,2.684364205,-0.352644607,3.695553645,1.226017176,-0.477375359,4.802522534,-0.874699484,-0.888452452,3.340032709,13.27807102,-5.545655517,2.759113414,-1.207842389,-0.020616603,2.810758886,3.885706008,-1.762322181,2.727035158,-20.86210078,5.171772318,2.931697861,-0.422034572,-1.098978134,4.500484936,-2.863743655,-0.40880354,4.302452975,-2.308980529,-0.413205618,5.151280551
119,NER,-6.573501658,0.348882305,3.271393877,-10.11313168,0.515460754,5.357116368,0.20666802,-0.484665283,3.17721442,-8.44511418,-0.126367672,3.616686681,-6.258240766,0.218872484,5.912029359,-7.516059426,0.245410674,5.861769382,-9.618720701,0.899471649,5.221369037,0.202741479,-0.809962103,4.652150125,0.109247897,-0.999355184,4.794348464,-4.318128675,0.24750675,3.521065644,-11.80226744,1.088485638,3.831035675,2.937790832,-1.970241292,3.695553645,-6.376226665,0.373572399,4.802522534,2.789904405,-2.190270472,3.340032709,0.372852448,-2.098727778,2.759113414,-2.786781357,-0.908595695,2.810758886,-5.272476209,0.049499139,2.727035158,-8.379643571,1.325300478,2.931697861,-1.697459386,-0.418853045,4.500484936,-2.971552134,0.377948432,4.302452975,-6.080889612,0.112714325,5.151280551
