File description: Atmospheric CO2 concentrations (ppm) from SSP scenarios.,,,,,
"Source: Downloaded from https://greenhousegases.science.unimelb.edu.au/#!/ghg?mode=downloads on August 24, 2021.",,,,,
,,,,,
Model,IMAGE,IMAGE,MESSAGE-GLOBIOM,AIM,REMIND-MAGPIE
Year,SSP1-19,SSP1-26,SSP2-45,SSP3-70,SSP5-85
2060,431.3139998,473.7499863,537.0849571,593.2299348,643.0408978
2061,430.617,473.8779869,539.9579575,598.7979345,652.171896
2062,429.9080003,473.9589876,542.7949579,604.4239341,661.5068943
2063,429.1900006,473.9989882,545.5869584,610.1069338,671.0448925
2064,428.4630008,473.9989888,548.3349588,615.8469334,680.7888908
2065,427.7260011,473.9569894,551.0389592,621.646933,690.738889
2066,426.9790014,473.87299,553.6999597,627.5049327,700.8988873
2067,426.2210016,473.7469907,556.3189601,633.4229323,711.2688855
2068,425.4520019,473.5779913,558.8949606,639.4019319,721.8508838
2069,424.6700022,473.3649919,561.430961,645.4419316,732.6478821
2070,423.8770024,473.1099925,563.9249615,651.5439312,743.6618804
2071,423.0710027,472.8109933,566.3799622,657.7079308,754.892879
2072,422.254003,472.4579941,568.7719629,663.9339305,766.3228776
2073,421.4250032,472.0409949,571.0829636,670.2219301,777.9298763
2074,420.5840035,471.5609958,573.3139644,676.5719297,789.718875
2075,419.7310037,471.0179966,575.4659651,682.9849294,801.6908736
2076,418.867004,470.4139974,577.5399659,689.460929,813.8478723
2077,417.9910043,469.7489982,579.5369666,696.0019286,826.192871
2078,417.1020045,469.021999,581.4579673,702.6059283,838.7268696
2079,416.2020048,468.2359998,583.3039681,709.2749279,851.4518683
2080,415.2880051,467.3900006,585.0739688,716.0079275,864.3688671
2081,414.3620054,466.4840012,586.7699698,722.8079271,877.4798668
2082,413.4210057,465.5360017,588.3779708,729.6789266,890.7088667
2083,412.461006,464.5610023,589.8859718,736.6289261,903.9808665
2084,411.4840063,463.5580028,591.2959727,743.6569256,917.3008664
2085,410.4900067,462.5270034,592.6089737,750.7639252,930.6708663
2086,409.477007,461.466004,593.8249747,757.9509247,944.0918662
2087,408.4480073,460.3750045,594.9449757,765.2159242,957.566866
2088,407.4010076,459.2550051,595.9699767,772.5609237,971.0958659
2089,406.336008,458.1040056,596.8999776,779.9839232,984.6808658
2090,405.2550083,456.9240061,597.7349786,787.4879228,998.3208657
2091,404.1570086,455.7130061,598.4769793,795.0699223,1012.019866
2092,403.0410089,454.5020061,599.1499799,802.7359218,1025.739866
2093,401.9080092,453.319006,599.7759805,810.4889213,1039.449867
2094,400.7580096,452.1600059,600.3549811,818.3279208,1053.149867
2095,399.5910099,451.0240059,600.8859818,826.2539203,1066.849867
2096,398.4070102,449.9090058,601.3659824,834.2669198,1080.529868
2097,397.2060105,448.8120058,601.796983,842.3669193,1094.209868
2098,395.9890109,447.7340057,602.1769837,850.5539188,1107.889868
2099,394.7560112,446.6720057,602.5049843,858.8289183,1121.549869
2100,393.5060115,445.6250056,602.7819849,867.190918,1135.209869
